N;A1;A2;A3;A4;A5;A6;A7;A8;A9;B1;B2;B3;B4;B5;B6;B7;B8;B9
9;595;595;595;595;595;595;595;595;595;595;532;476;413;350;287;231;168;105
9;595;609;623;637;651;658;672;686;700;105;133;168;196;231;259;287;322;350
9;350;378;413;441;476;504;532;567;595;700;686;672;658;651;637;623;609;595
9;350;378;413;441;476;504;532;567;595;700;623;553;476;406;329;252;182;105
9;700;658;616;567;525;483;441;392;350;350;392;441;483;525;567;616;658;700
9;700;686;672;658;651;637;623;609;595;350;378;413;441;476;504;532;567;595
9;700;672;651;623;595;567;546;518;490;350;392;441;483;525;567;616;658;700
9;630;637;651;658;665;672;686;693;700;700;693;686;672;665;658;651;637;630
9;700;658;616;567;525;483;441;392;350;490;518;546;567;595;623;651;672;700
9;700;693;686;672;665;658;651;637;630;490;518;546;567;595;623;651;672;700
9;490;518;546;567;595;623;651;672;700;700;672;651;623;595;567;546;518;490
9;350;392;441;483;525;567;616;658;700;700;693;686;672;665;658;651;637;630
9;350;392;441;483;525;567;616;658;700;700;658;616;567;525;483;441;392;350
9;700;672;651;623;595;567;546;518;490;630;637;651;658;665;672;686;693;700
9;630;637;651;658;665;672;686;693;700;700;658;616;567;525;483;441;392;350
